epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.5385,0.53709,5.60528,0.88577,0.24899,0.08232,0.03276,0.03185,0.29571,3.60295,0.80478,1.88699e-05,1.88699e-05,1.88699e-05
2,101.797,0.33562,3.73953,0.81793,0.3963,0.34456,0.36158,0.35766,0.21531,2.24573,0.78537,3.7495e-05,3.7495e-05,3.7495e-05
3,150.139,0.28052,2.49561,0.804,0.75415,0.78617,0.8743,0.86666,0.19256,1.10102,0.77663,5.57438e-05,5.57438e-05,5.57438e-05
4,200.186,0.25582,1.53371,0.7981,0.94756,0.94748,0.9857,0.98093,0.17059,0.59172,0.77141,5.53071e-05,5.53071e-05,5.53071e-05
5,255.734,0.23255,1.0146,0.79132,0.97141,0.98581,0.99434,0.99066,0.15831,0.39858,0.76774,5.47428e-05,5.47428e-05,5.47428e-05
6,3199.18,0.21601,0.77142,0.78472,0.98339,0.98934,0.9949,0.99244,0.14662,0.32965,0.76469,5.41785e-05,5.41785e-05,5.41785e-05
7,3250.4,0.20586,0.64477,0.78366,0.99012,0.99478,0.99494,0.99293,0.13405,0.2701,0.763,5.36142e-05,5.36142e-05,5.36142e-05
8,3300.99,0.19297,0.55344,0.78134,0.99271,0.9938,0.99499,0.99354,0.12813,0.24366,0.76126,5.30499e-05,5.30499e-05,5.30499e-05
9,3350.9,0.18741,0.50513,0.77875,0.99311,0.99676,0.99496,0.99362,0.12141,0.22693,0.76041,5.24856e-05,5.24856e-05,5.24856e-05
10,3400,0.17728,0.46484,0.77824,0.99458,0.99741,0.99499,0.99389,0.1169,0.20791,0.75976,5.19213e-05,5.19213e-05,5.19213e-05
11,3449.23,0.17181,0.43317,0.77602,0.99253,0.99627,0.995,0.99401,0.1128,0.20321,0.75887,5.1357e-05,5.1357e-05,5.1357e-05
12,3501.31,0.16636,0.4051,0.77666,0.99429,0.99598,0.99499,0.99426,0.10698,0.18752,0.75819,5.07927e-05,5.07927e-05,5.07927e-05
13,3552.3,0.16435,0.3846,0.77309,0.99544,0.99804,0.995,0.99429,0.10388,0.17731,0.75746,5.02284e-05,5.02284e-05,5.02284e-05
14,3698.28,0.15723,0.36103,0.77427,0.99501,0.99755,0.995,0.99438,0.10277,0.17363,0.75716,4.96641e-05,4.96641e-05,4.96641e-05
15,3751.12,0.15911,0.34613,0.77218,0.99569,0.99745,0.99499,0.99443,0.10017,0.1652,0.75695,4.90998e-05,4.90998e-05,4.90998e-05
16,3811.51,0.15467,0.33725,0.77517,0.99457,0.99778,0.995,0.99444,0.09871,0.1608,0.75646,4.85355e-05,4.85355e-05,4.85355e-05
17,3863.59,0.14995,0.32017,0.77425,0.99616,0.9982,0.995,0.99452,0.09611,0.15236,0.75616,4.79712e-05,4.79712e-05,4.79712e-05
18,3914.32,0.14895,0.30116,0.77164,0.99604,0.99865,0.995,0.99456,0.09444,0.14966,0.75582,4.74069e-05,4.74069e-05,4.74069e-05
19,3964.57,0.14738,0.2948,0.77152,0.99583,0.99808,0.995,0.99457,0.09241,0.14325,0.75541,4.68426e-05,4.68426e-05,4.68426e-05
20,4016.69,0.14349,0.2836,0.77,0.99612,0.99799,0.995,0.99453,0.09212,0.14188,0.7554,4.62783e-05,4.62783e-05,4.62783e-05
21,4068.89,0.14424,0.28206,0.7731,0.99576,0.99813,0.995,0.99469,0.09197,0.14102,0.75525,4.5714e-05,4.5714e-05,4.5714e-05
