epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,4120.67,0.14192,0.27301,0.77376,0.99561,0.99816,0.995,0.99456,0.08857,0.13499,0.755,4.51497e-05,4.51497e-05,4.51497e-05
23,4179.21,0.13984,0.26443,0.77125,0.99587,0.99821,0.995,0.99469,0.08835,0.13198,0.75463,4.45854e-05,4.45854e-05,4.45854e-05
24,4234.05,0.14116,0.26079,0.77123,0.99645,0.99843,0.995,0.99468,0.08648,0.13064,0.75496,4.40211e-05,4.40211e-05,4.40211e-05
25,4291.13,0.1359,0.24928,0.77083,0.99625,0.99899,0.995,0.9946,0.0852,0.12981,0.75468,4.34568e-05,4.34568e-05,4.34568e-05
26,4346.62,0.13555,0.24664,0.76966,0.99628,0.99961,0.995,0.99461,0.08494,0.12521,0.75461,4.28925e-05,4.28925e-05,4.28925e-05
27,4400.79,0.13356,0.24176,0.77196,0.99618,0.99879,0.995,0.99476,0.08426,0.12393,0.75445,4.23282e-05,4.23282e-05,4.23282e-05
28,4457.62,0.13486,0.23908,0.76879,0.99628,0.99878,0.995,0.9946,0.08542,0.12298,0.75436,4.17639e-05,4.17639e-05,4.17639e-05
29,4513.34,0.13217,0.23373,0.76943,0.99642,0.99911,0.995,0.99468,0.08351,0.12076,0.75425,4.11996e-05,4.11996e-05,4.11996e-05
30,4568.67,0.1301,0.22822,0.76884,0.99652,0.99903,0.995,0.99473,0.08179,0.1179,0.75414,4.06353e-05,4.06353e-05,4.06353e-05
31,4625.64,0.1324,0.22974,0.77003,0.99638,0.99922,0.995,0.99479,0.08202,0.11813,0.75405,4.0071e-05,4.0071e-05,4.0071e-05
32,4682.52,0.12968,0.22198,0.76935,0.99454,0.99885,0.995,0.99476,0.0802,0.11594,0.75394,3.95067e-05,3.95067e-05,3.95067e-05
33,4737.64,0.12842,0.22175,0.76865,0.9965,0.99949,0.995,0.99483,0.08237,0.11629,0.75372,3.89424e-05,3.89424e-05,3.89424e-05
34,4794.53,0.1254,0.21399,0.76747,0.99638,0.99939,0.995,0.99484,0.07852,0.11252,0.75379,3.83781e-05,3.83781e-05,3.83781e-05
35,4851.11,0.12705,0.21189,0.76892,0.99646,0.99905,0.995,0.9948,0.07846,0.11238,0.75381,3.78138e-05,3.78138e-05,3.78138e-05
36,4908.94,0.12611,0.2084,0.77037,0.99685,0.99941,0.995,0.99474,0.07789,0.11051,0.75369,3.72495e-05,3.72495e-05,3.72495e-05
37,4966.5,0.12468,0.20647,0.76835,0.99672,0.99929,0.995,0.99481,0.07882,0.10946,0.75355,3.66852e-05,3.66852e-05,3.66852e-05
38,5023.16,0.12463,0.2043,0.77008,0.99661,0.99946,0.995,0.99488,0.07673,0.10679,0.75335,3.61209e-05,3.61209e-05,3.61209e-05
39,5079.93,0.12449,0.20319,0.76952,0.99689,0.99972,0.995,0.99491,0.07888,0.10857,0.75337,3.55566e-05,3.55566e-05,3.55566e-05
40,5137.35,0.12401,0.20235,0.76738,0.99659,0.99961,0.995,0.99485,0.07669,0.10477,0.75336,3.49923e-05,3.49923e-05,3.49923e-05
41,5192.73,0.12242,0.1986,0.77,0.99612,0.99914,0.995,0.99489,0.0752,0.10239,0.75326,3.4428e-05,3.4428e-05,3.4428e-05
42,5249.75,0.12317,0.19883,0.76846,0.99689,0.99935,0.995,0.99485,0.07533,0.10215,0.75324,3.38637e-05,3.38637e-05,3.38637e-05
43,5306.33,0.12048,0.1934,0.76856,0.99659,0.99951,0.995,0.99484,0.07502,0.10114,0.75314,3.32994e-05,3.32994e-05,3.32994e-05
44,5361.66,0.12016,0.19346,0.76758,0.99714,0.9994,0.995,0.99492,0.07423,0.09971,0.75295,3.27351e-05,3.27351e-05,3.27351e-05
45,5418.69,0.11804,0.18741,0.76742,0.99676,0.99936,0.995,0.99487,0.07395,0.09991,0.75301,3.21708e-05,3.21708e-05,3.21708e-05
46,5474.79,0.11779,0.18515,0.76655,0.99697,0.99934,0.995,0.99487,0.07404,0.09781,0.75305,3.16065e-05,3.16065e-05,3.16065e-05
47,5533.19,0.11678,0.18201,0.76833,0.99688,0.99945,0.995,0.99487,0.07437,0.09944,0.75289,3.10422e-05,3.10422e-05,3.10422e-05
48,5590.51,0.11423,0.18197,0.76691,0.9969,0.99936,0.995,0.99487,0.07302,0.09686,0.75255,3.04779e-05,3.04779e-05,3.04779e-05
49,5648.73,0.11443,0.18185,0.7666,0.99716,0.99904,0.995,0.99489,0.07269,0.09522,0.75276,2.99136e-05,2.99136e-05,2.99136e-05
50,5706.86,0.11489,0.17975,0.76653,0.99703,0.99942,0.995,0.99486,0.07358,0.09717,0.75272,2.93493e-05,2.93493e-05,2.93493e-05
51,5763.08,0.11469,0.17666,0.77025,0.9971,0.99944,0.995,0.99491,0.0725,0.09422,0.75261,2.8785e-05,2.8785e-05,2.8785e-05
52,5821.76,0.11389,0.17423,0.77023,0.9969,0.99929,0.995,0.9949,0.07198,0.09435,0.75268,2.82207e-05,2.82207e-05,2.82207e-05
